aid,reporting,reporting_ref,funder_ref,title,status_code,day_start,day_end,description,commitment,spend,commitment_eur,spend_eur,commitment_gbp,spend_gbp,commitment_cad,spend_cad,country_code,country_percent,sector_group,sector_code,sector_percent,location_code,location_name,location_longitude,location_latitude,location_precision,location_percent,iso3,iso2,activity_id
#activity+id,#org+reporting+name,#org+reporting+id,#org+funder+id,#activity+title,#status,#date+start,#date+end,#description,#value+committed+usd,#value+spent+usd,#value+committed+eur,#value+spent+eur,#value+committed+gbp,#value+spent+gbp,#value+committed+cad,#value+spent+cad,#country+name,#indicator+country_allocation+pct,#sector,#subsector,#indicator+subsector_allocation+pct,#loc+code,#loc+name,#geo+lon,#geo+lat,#geo+precision+code,#indicator+location_allocation+pct,#country+code+v_iso3,#country+code+v_iso2,#activity+url
US-GOV-1-AID-AAG-G-00-97-00021,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,1996-09-26,2023-09-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",98716944,88988530,85491344,80177400,73186416,68326350,126140096,115914230,Ukraine,2.3281639,"Health, General",Health policy and administrative management,0,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-AAG-G-00-97-00021
US-GOV-1-AID-AAG-G-00-97-00021,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,1996-09-26,2023-09-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",98716944,88988530,85491344,80177400,73186416,68326350,126140096,115914230,Ukraine,2.3281639,General Environment Protection,Environmental policy and administrative management,28.73124,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-AAG-G-00-97-00021
US-GOV-1-AID-AAG-G-00-97-00021,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,1996-09-26,2023-09-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",98716944,88988530,85491344,80177400,73186416,68326350,126140096,115914230,Ukraine,2.3281639,Basic Health,COVID-19 control,68.01901,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-AAG-G-00-97-00021
US-GOV-1-AID-AAG-G-00-97-00021,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,1996-09-26,2023-09-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",98716944,88988530,85491344,80177400,73186416,68326350,126140096,115914230,Ukraine,2.3281639,Basic Health,Malaria control,0,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-AAG-G-00-97-00021
US-GOV-1-AID-AAG-G-00-97-00021,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,1996-09-26,2023-09-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",98716944,88988530,85491344,80177400,73186416,68326350,126140096,115914230,Ukraine,2.3281639,Basic Health,Basic health care,3.2497506,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-AAG-G-00-97-00021
XM-DAC-41114-PROJECT-00042836,United Nations Development Programme,XM-DAC-41114,UNDP,Management Plan,Implementation,2000-01-01,2025-12-31,Management Plan,0,0,0,0,0,0,0,0,Ukraine,100,Unallocated / Unspecified,Sectors not specified,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XM-DAC-41114-PROJECT-00042836
XM-DAC-41114-OUTPUT-00049748,United Nations Development Programme,XM-DAC-41114,UNDP,Organizational Effectiveness,Implementation,2000-01-01,2025-12-31,Support to Ukraine Country Office in enhancing CO’s organizational effectiveness and capacity.,3015,3015,2845.7207,2687.9285,2477.059,2263.6587,4096.904,3986.8508,Ukraine,100,Unallocated / Unspecified,Sectors not specified,100,,Kyiv,30.5238,50.45466,1,,UKR,UA,http://d-portal.org/q.html?aid=XM-DAC-41114-OUTPUT-00049748
CH-4-2019001873,Swiss Agency for Development and Cooperation (SDC),CH-4,CH,Crédit global pour petites actions,Implementation,2001-10-01,2023-06-30,"Les crédits globaux pour petites actions permettent le financement d’opérations ponctuelles, peu coûteuses, significatives en termes de développement, à composantes diverses (techniques, sociales, organisationnelles et de gestion, politique, économique, informative, etc.)",0,48447.727,0,43597.223,0,36920.953,0,63797.6,Ukraine,100,Other Multisector,Urban development and management,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=CH-4-2019001873
CH-4-2019001874,Swiss Agency for Development and Cooperation (SDC),CH-4,CH,Crédit global pour petites actions,Implementation,2001-10-01,2023-06-30,"Les crédits globaux pour petites actions permettent le financement d’opérations ponctuelles, peu coûteuses, significatives en termes de développement, à composantes diverses (techniques, sociales, organisationnelles et de gestion, politique, économique, informative, etc.)",340484.03,294617.2,306395.34,265120.62,259475.44,224521.31,448360.88,387961.84,Ukraine,100,Unallocated / Unspecified,Sectors not specified,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=CH-4-2019001874
